,여의도한강공원리뷰
362,강변따라  자전거 전용 도로를 아들과 같이 호흡을 맞추어 달려보니 콧 노래가 절로 나오고 강바람을 가르며 달리는 기분은 정말 좋아습니다 그리고 편이점에서 라면에 시원한 맥주 한잔은 강변의 운치가 더욱 좋았습니다. 아들아 고맙다.
363,행사도 자주 하고 나들이 오기 좋은 공원👍…
364,여의나루역 2번 출구 인근 위치. 서울 중심부에 위치한 주민들의 쉼터
365,시간나면 자주 가는 곳.. 근데 늦은 저녁에는 중고등학생의 놀이터 느낌..
366,"마라톤 경기 참여차 다녀왔습니다. 넓은 한강과 도시가 어우러져 아주 좋은 풍경을 연출합니다. 운동(자전거,마라톤,걷기) 정말 좋은 환경입니다. 추천합니다.놀이터1. 넓은 놀이터와 자연이 있습니다. 2. 나무가 많지 않아 여름엔 덥습니다. 3. 아이들이 뛰어놀기에 아주 좋은 환경입니다.화장실많은 무료 남녀화장실이 있습니다.반려견 동반 환경상관없어요피크닉 구역현재 그늘막 설치는 제한적입니다."
367,강바람과 함께 좋은 사람들과 맛있는 음식을 먹으며 사간을 보내는 곳도 좋죠
368,여의도한강공원 좋아요 더현대도 가까워서좋아요
369,서울시민들의 최대 휴식처라 할수 있겠습니다
370,"좋아요^^ 사람이 이렇게 많을줄이야ㅋ 텐트부터 거의다 돋자리 챙겨와서 가족, 친구, 직장동료들끼리 즐거운 시간보내더라고요."
371,여름을 시원하게 편하게 즐길 수 있는 곳 입니다
372,가을날씨 잘 느끼고 불꽃 축제 잘 보고 왔어요. 많은 인파로 교통이 불편했지만 눈 호강했어요. 원효대교 주변 강추
373,피크닉장소로짱이에요 깔끔하고 전단지수거함 화장실 쓰레기통 다잘되어있고 텐트 돗자리대여두쉽구 짱
374,마라톤 행사 자원봉사 경험으로 인생살이에 큰 도움 받았습니다
375,라면  먹으면서  사람들 구경하고  꽁냥꽁냥.....
376,젊은이들의 열기가 느껴지네요. 돗자리깔고  한강하며 치맥하는것도 여름밤의 즐거움일듯~~~
377,아주 이쁘고 데이트 장소로 딱이에요😁😁😁😁😁…
378,"하늘도 맑고 나들이하기 너무 좋았다^^ 대부분 연인, 친구 20대 젊은사람으로 많은 사람들이 가을을 만끽했던것 같다~"
379,"한국의 수도 서울의 최심장부에 유유히 흐르는 여의도 한강! 교통접근성이 뛰어나고 친환경적이며 산책이나 자전거 라이딩에 좋으며 주변에 금융센터와 더불어 방송국,대형쇼핑센터,호텔,공원,즐길거리,맛집 등이 즐비하다."
380,세계 어떤 도시와 비교해도  좋은 환경을 갖춘 공원
381,아이들과 산책하기에 최고이네요ㅅㅅ
382,피크닉 즐기기에 최고의 장소에요
383,젊은사람많이놀로와있어.특히 유명한음악반드나타면 엄청 취상한분위기빚내요
384,아침일찍. 물안개넘조코요. 공기가끝내줘요 기분짱이내요우리나라 살기조와요.  정부에서 주민을위해.  신경써나라살림만잘해주심다면국민도.  ㅎㅎ
385,4윌부터 로드자전거 타면서 한국도 좋은곳 많네요 ㅎㅎ
386,주변에 돗자리나 피크닉 용품 사기 편하고 탁 트여서 햇볕 받으면서 치맥하기 좋습니다. 굿
387,너무 더울때는 다리아래로 선선할때는 아무곳이든 좋아요. 한강라면도 한번씩 드세요. 놀러온 느낌이 나요.
388,아침에 주차 하려는 차량이 많아서 힘들었음 생각보다 아침에 출차가 많아서 놀랐음 점심 이후 사람이 많아져서 놀랐음 노점에서 다양한 음식을 팔아서 좋았음 근처 편의점 줄설 정도로 사람이 많고 빨리 결제 할수 있어서 좋았음 날씨가 좋아서 따뜻 했음 저녁에 사람이 더 많아짐 주차장은 빈자리가 많음
389,시원하고 벚꽃 만개하면 이쁠듯 👍 주차요금도 싸고 괜찮아요…
390,갠적으로 성수대교 보다 여기가 훠얼씬 재밋음
391,"토요일,일요일 환경미화인력 늘이고,특히화장실도 늘이고 편의시설도 좀더 늘이시길 바라겠습니다.줄때매 못가고 저기위에 올라가서 상가까지 다녀와서30분걸렸답니다.한국관광객들이 특히 젊은 외국인도 밤도깨비때문인지 엄청 많은데 국가에서는 이런데 확실히 투자하시면 좋겠어어요. 그리고 한국인들도 횡당보도 초록불에 건너시고 노랑불에 멈추세요. 차들도 지나가야지요. 질서지켜주고 먹거리하시는분들 위생도 좀 관리하셔서 깨끗하고 바람직한 4월의 벚꽃나들이가 되길 노력했음 좋겠습니다."
392,야시장도 잇고 넘 좋은데 자기 쓰레기 정리 쫌 ㅠㅠㅠㅠㅠㅠ
393,마라톤대회가 있었어요. 날씨도 청명하고 즐거운날입니다^^
394,평일에 혼자 산책하기 좋은 곳입니다.
395,걷기운동 하기에는 좋은 곳이다. 폭력운전 자전거만 조심하면 된다.
396,밤에도 산책하기 너무나 좋은 공원입니다 :) 봄 시즌 강추!!
397,주차장 잘 되어있고 산책 운동하기 좋아요
398,경치 이쁘고 사람구경 하는 맛이 있음 ㅎ
399,벚꽃구경을 위해 방문했던 장소! 지금은 곳곳에 벚꽃을 즐길 수 있는 곳이 많지만 벚꽃하면 역시 여의도 한강공원을 빼놓을 수 없음! 그래도 벚꽃시즌엔 사람이 너무 많고 어린이놀이터 근처엔 놀이터 모래 먼지가 많이 날려 편안하게 놀다 오기엔 좀 북적였다. 돗자리를 가져오더라도 햇빛을 피해 쉴 곳이 많지 않음. 음식은 괜찮았다. 편의점은 즉석라면의 천국! 강추한다.
400,벌써 사람이 많아요.
401,"서울시민들의 접근성 갑, 사람들북적이는거 좋아한다면 최고 나들이 장소"
402,자전거타고 산책하기에 최고
403,민주당이 생색내기만하는.  진정~대한민국의 행복
404,힐링장소이자 라면맛집인 한강이예요~ 가족이 함께 미세먼지없는 날씨좋은날 너무 즐거운 시간 보낼수있어 너무 좋아요❤
405,선선하고 산산하고 편안한 잠시만의 쉼
406,"밤도깨비 시장... 야시장이 열리면 푸드트럭과 스몰디자이너들의 숍이 많긴 한데 아 이거다 싶은 것은 아직 많이 보이지 않습니다. 그냥 여름에 몇 번, 날씨 좋을 때 몇번, 축제 때 한 번 갈만한 곳이죠 치맥을 하러 배달하고 받는 사람이 뒤엉키는 현장."
407,되게 좋고 시간도 금방가고 먹을것도 이젠많아요
408,한여름밤 넓은곳에서 시원하게 아이들과 잠시 물놀이~~
409,장소 정말 좋아요 근데 무지하게 춘 날.....
410,한강에서 텐트빌려줘서 좋음 텐트안에서 먹는 한강라면 꿀맛. 3시간에 텐트 만원이면 저렴한건가? 무튼 좋은 추억이 생김.
411,단풍에 시원한 강바람
412,사람이너무많다 치킨이 한시간동안 안오면 자신의 주문이 누락된것이 아닌지 꼭다시 확인하길 바란다...... 필자는 이를 확인하지않아 3시간만에 치킨을 먹었기 때문이다.....
413,처음가봤는데 여유있게 운동하면서 가족들과 시간 보내기 좋았습니다~^^
414,더운 가운데 가끔 부는 바람이 좋았음. 그늘 밑에 자리만 잘 잡으면 한여름 아니라 아직은 좀 괜찮은거 같아요
415,다리 밑에서 쉬어도 되고 지금같은 날씨엔 흐르는 물에 발담구고 도란도란 얘기 나누기 좋아요
416,사람 엄청 많아요ㅎㅎ 앞에서 파는 음식들이 마시가 없어서 아쉬웠어용
417,여유있게 친구들과 피크니각기좋은곳
418,여름에 시원하고 5시쯤가면 노을이 인상적
419,노을지는 시점에 돚자리 빌려 강 가까이에 자리 잡았더니 사람들이 우리따라 다 저렇게 자리 잡음 사람들이 점점 많고 활기차고 맥주 한잔하며 노란노란 이야리 하기 좋은 아름다운 저녁을 느낄수 있는 곳
420,요즘같은 날씨에 정말 좋더라구요 비록 잔디밭에 사람반 돗자리반에 길거리에는 라면투성이 전단지유포하시는분 천지지만 서늘서늘한 공기에 생각보다 시끄럽지않아서 정말좋았어요
421,I SEOUL U. 서울의 대표적인 힐링 장소. 말이 필요한가. 노래 틀고 맥주 한 캔들고 걸어가보자.
422,"여의도는  봄날 저녁에 진리이다 오후7시이후에는 텐트치면 벌금이니 유의할것. After 7 p.m ,  tent have to be uninstalled if you keep do that park manager will impose fair."
423,자전거도 타고 바람도 쐬고 모든 대교는 절경. 이에 더해 편의점은 라면 맛집.
424,"또봉이 통닭= 양 SMALL 편의점=사람 개많음, 지하철 역사안 편의점 혹은 미리 사오는것 추천 개인적으로 여의나루보다는 뚝섬이 더 좋음"
425,"사람이 너무 많아 복잡하지만, 벤치와 앉을 만한 잔디밭, 평지가 많고 신분증과 돈을 내면 돗자리와 각종 도구를 대여해주는 대여상들이 많아 아무런 준비없이 방문해도 충분히 장시간 있을 만한 장소임. 음식도 공원내 편의점 및 즉석요리 포장마차 구매가 가능하고 특히 배달앱 주문하면 별도의 배송받는 장소로 라이더들이 오기 때문에 치킨까지 모두 배달받을 수 있다. 아쉬운 점은 분리수거가 어렵다는 점이고 화장실이 조금 불편하다는 점. 하지만 날씨 좋은 날은 낮부터 야간까지 내내 한강주변 풍경을 보며 느긋이 피크닉을 즐길 수 있어 좋다."
426,와우~ 날씨 좋타
427,많은 젊은이들이 여유롭게 즐기는 모습이 보기좋음
428,여행을 왔다면 꼭 가봐야하는 곳!! 날씨 좋은 날 텐트나 돗자리 하나면 하루종일 편하게 보낼 수 있을 듯 합니다^^
429,날씨가 많이 풀려서 여자친구랑 놀러가기 좋아요~
430,역에서 공원 입구까지가 혼잡하긴 해도 공원 들어가면 시야가 탁 트여 시원한 기분. 그러니 그리들 많이 몰려들겠지.
431,간만에 오니 좋네요 근데 바람이 넘불어서 ~한강라면과 떡뽀기도 먹고 ㅎ
432,사람이 좀 많아서 최대한 없는 부분으로 가느라 살짝 외각으로 갔네요. 물 앞이라 비교적 선선하고 가만히 시간 때우기 너무 좋았던 거 같습니다. 나중에 또 가고 싶네요.
433,가끔 답답하거나 쉬고 싶을때 오는 곳이에요 올때마다 새로운 느낌이에요 기분이 좋아져요
434,"밤에 겁나 추운건만 아니면 풍경,분위기,자전거 등이 디 좋습니다ㅎ"
435,야외에서 한강 뷰를 보면서 치맥을 즐길수 있는 장소입니다.
436,한강 둔치중 최고의 명소 접근성 굿 이고 주변에 더현대와 국회의사당이 자리하고 있어 피크닉과 쇼핑 관광을 겸 할수 있으며 여의도 한강공원 에서의 버스킹과 젊은이 들과의 대화 그들과 문화를 공유 하는 색다르고  활기찬 여행을 할수 있는 공원 입니다
437,불꽃널이 구경차 다녀옴.  갈때마다 만족하고 오네요.
438,여름밤 야경 너무 예뻐요.
439,서울에 왔으면 여기는 국룰이죠 여의나루역 1번으로 go go
440,바람세기 좋습니다
441,한강공원 산책하기 너무 좋습니다.
442,걷기 좋은 곳... 1시간 정도 걷다보면 발 담글 수 있는 곳이 있어서 크록스 신고 가길 추천
443,"눈올때가 더 절경, 최고의 야경"
444,세계 어디를 가도 모든 면에서 이렇게 훌륭한 공원은 없다.
445,여기저기 리뉴얼중이네요. 멋진 한강공원으로 재탄생할 것 같습니다.
446,날씨가 좋아서 야외에서 경치보고 먹기 좋아요. 사람이 너무 많아요
447,매우 아름답다. 라면 먹으면서 한강을 구경하는 재미있다.
448,이랜드크루즈때문에가는데..여의도는정말 한강.공원둘다질리지않음요
449,불꽃축제 명당이라고 생각합니당 마포대교 바로 밑에서 봤었는데 사람들도 적당하고 시야확보도 잘 돼서 좋았어요
450,"저녁에 오니까 굉장히 시원했고, 친구와 돗자리를 펴고 치킨과 맥주 그리고 포카칩을 맛있게 먹었어요! 한강 최고😆…"
451,구름 낀 하늘도 멋짐. 속이 아주 시원해지는 곳. 주차료 내고라도 와서 산책할 가치가 있음
452,준비하시는 분들 고생들 많으셨습니다.화장실남자들은 평균 1시간정도 여자분들은 2시간 이상 걸렸던거 같아요....이 부분은 어떻게 해결 좀 했으면 좋겠네요
453,"형이 진지하게 말하는데, 불꽃놀이랑 벚꽃축제는 콩나물 시루떡 되기 싫음 걸러라"
454,사람은 많지만 벚꽃명소입니다
455,"피크닉 가기 너무 좋은 봄, 가을 10월 불꽃놀이 축제도 있고~~! 피크닉 가기 너무 좋은 계절이네요!! 갈때마다 너무 좋은 여의도!!!!@.@"
456,"편의점이나 가게가 적어서 대기시간이 너무 길고, 쓰레기를 버릴 곳이 마땅치 않음.화장실화장실 수를 늘려야 함."
457,한강 라면 4천5백원 지방 시민으로는 조금 이해가 힘드네요..
458,한강 뷰의 벤치에 앉아서 좋은사람과 맥주한잔하며 소소한 대화를 나누는것. 시원한 밤바람과 함께 공원을 산책하는것.
459,제법바람도시원했고남녀노소많은이들이더위를피해즐기러온거같네요 달모형도만져보고버스킹들으며감동하고 좋은추억만들기~♡
460,날씨 좋을때 가면 너무 좋아요
461,도심속에 우리집 정원이에요 여의도거주중인데 매일아침 산책하며 즐기곤합니다
462,여의도 한강변의 공원으로 깔끔하고 잘 구성되어 있음. 주말에 사람이 너무 많으나 평일은 적당하고 좋음
463,서울 사람이면 오셔야해요.  돗자리깔고누우면 최고
464,유람선 타고 강바람 쐬기 좋아요! 단 사람이 너무 많아요ㅜㅜ
465,조형물도 많고 아이들이 뛰어놀기 좋음. 날씨 좋은 날은 사람이 많음
466,한강 라면 맛있고 63빌딩도 멋있어요
467,데이트하는 남녀들 많고 소풍 가기 좋은듯
468,벚꽃놀이 보러 와요. 언제든지 와도 좋지만
469,220227 아직까지는 너무 춥네요 ㅎㅎ 작년보다는 많이 정리되어서 여름엔 기대가됩니다
